seed,amplitude,snr,method,solver,protocol,distance,lam,penalty,sample_size,max_iterations,shrink,device,backend,field_scale,field_terms,loss,unexplained_pct,rms_log,planted_cv_pct,floor_pct,unexplained_brain_pct,rms_log_brain,planted_cv_brain_pct,floor_brain_pct,iterations,seconds,baseline_seconds,timestamp,git_commit,torch_version,host
6,0.2,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,2.18872,0.0220278,4.06629,0.00236199,0.959417,0.00959008,3.49629,0.00192267,30,0.686,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
6,0.2,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,2.65277,0.026927,4.06629,0.00236199,1.19849,0.01207,3.49629,0.00192267,30,0.688,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
6,0.2,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,4.80706,0.0486722,4.06629,0.00236199,2.86867,0.0288159,3.49629,0.00192267,30,0.688,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
6,0.4,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,4.53928,0.046001,8.07184,0.00492231,2.03658,0.0204122,6.96086,0.00401434,30,0.69,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
6,0.4,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,4.94436,0.0505156,8.07184,0.00492231,2.20095,0.0222543,6.96086,0.00401434,30,0.687,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
6,0.4,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,6.78878,0.0697661,8.07184,0.00492231,3.70873,0.0374785,6.96086,0.00401434,30,0.686,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
6,0.8,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,9.96722,0.103396,15.9113,0.011515,4.79152,0.0487655,13.797,0.00987448,30,0.687,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
6,0.8,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,10.3312,0.107295,15.9113,0.011515,5.11925,0.0521719,13.797,0.00987448,30,0.694,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
6,0.8,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,10.7677,0.111754,15.9113,0.011515,5.71213,0.0582731,13.797,0.00987448,30,0.686,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
7,0.2,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,2.47646,0.0253414,5.05801,0.00312917,1.1238,0.0113176,4.27706,0.00246918,30,0.688,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
7,0.2,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,3.00478,0.0308217,5.05801,0.00312917,1.54995,0.0156667,4.27706,0.00246918,30,0.687,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
7,0.2,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,5.17467,0.0527323,5.05801,0.00312917,3.25366,0.0328746,4.27706,0.00246918,30,0.688,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
7,0.4,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,4.69478,0.0486118,10.1879,0.00663565,2.17019,0.0220107,8.59942,0.00565098,30,0.688,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
7,0.4,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,5.21739,0.0541104,10.1879,0.00663565,2.64096,0.0268658,8.59942,0.00565098,30,0.686,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
