seed,amplitude,snr,solver,protocol,distance,lam,shrink,device,backend,field_scale,field_terms,unexplained_pct,rms_log,planted_cv_pct,floor_pct,unexplained_brain_pct,rms_log_brain,planted_cv_brain_pct,floor_brain_pct,iterations,seconds,baseline_seconds,timestamp,git_commit,torch_version,host
2,0.2,inf,normal,fixed30,100,0.0001,4,cpu,torch,400,8,1.64507,0.0163685,3.87511,0.146542,1.28928,0.0128347,3.28263,0.0829273,30,2.311,2.357,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,40,normal,fixed30,100,0.0001,4,cpu,torch,400,8,1.77418,0.017686,3.87511,0.146542,1.36929,0.0136566,3.28263,0.0829273,30,2.557,2.357,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,inf,normal,fixed30,100,0.0001,4,cpu,torch,400,8,1.49236,0.0150212,3.96223,0.0805432,0.958737,0.00960572,2.92538,0.0502946,30,2.293,2.357,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,40,normal,fixed30,100,0.0001,4,cpu,torch,400,8,1.75807,0.017698,3.96223,0.0805432,1.1314,0.011342,2.92538,0.0502946,30,2.407,2.357,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.10752,0.0213278,3.9497,0.00479213,0.962595,0.00968991,2.80681,0.00448657,30,2.502,2.538,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,3.10561,0.0314317,3.9497,0.00479213,1.75085,0.0176554,2.80681,0.00448657,30,2.638,2.538,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.21802,0.0218914,3.87511,0.00273464,0.97082,0.00969031,3.28263,0.00185466,30,3.036,2.538,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.73,0.0274552,3.87511,0.00273464,1.51552,0.0152734,3.28263,0.00185466,30,3.026,2.538,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.02303,0.0202779,3.96223,0.001591,0.841907,0.00844628,2.92538,0.00121479,30,2.987,2.538,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.56069,0.025913,3.96223,0.001591,1.3938,0.0140564,2.92538,0.00121479,30,2.939,2.538,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,inf,normal,fixed30,75,1e-06,4,cpu,torch,400,8,1.96581,0.0198665,3.9497,0.0103106,0.953786,0.00958239,2.80681,0.00753263,30,2.917,3.062,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,40,normal,fixed30,75,1e-06,4,cpu,torch,400,8,2.96559,0.029897,3.9497,0.0103106,1.80634,0.0181292,2.80681,0.00753263,30,2.994,3.062,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,inf,normal,fixed30,75,1e-06,4,cpu,torch,400,8,2.12287,0.0209923,3.87511,0.00913533,1.04651,0.010423,3.28263,0.00523838,30,3.299,3.062,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,40,normal,fixed30,75,1e-06,4,cpu,torch,400,8,2.58435,0.0259605,3.87511,0.00913533,1.54417,0.0155232,3.28263,0.00523838,30,3.147,3.062,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,inf,normal,fixed30,75,1e-06,4,cpu,torch,400,8,1.8703,0.018763,3.96223,0.00531738,0.854206,0.00855337,2.92538,0.00387199,30,3.382,3.062,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,40,normal,fixed30,75,1e-06,4,cpu,torch,400,8,2.41017,0.0243614,3.96223,0.00531738,1.38178,0.0138952,2.92538,0.00387199,30,2.983,3.062,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,inf,normal,fixed30,75,1e-05,4,cpu,torch,400,8,1.87047,0.0189332,3.9497,0.0308644,0.906587,0.00909844,2.80681,0.0196829,30,3.259,3.234,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,40,normal,fixed30,75,1e-05,4,cpu,torch,400,8,2.85756,0.0287463,3.9497,0.0308644,1.77508,0.0177514,2.80681,0.0196829,30,3.375,3.234,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,inf,normal,fixed30,75,1e-05,4,cpu,torch,400,8,1.87712,0.0186419,3.87511,0.0338733,1.03285,0.010283,3.28263,0.0200052,30,3.252,3.234,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,40,normal,fixed30,75,1e-05,4,cpu,torch,400,8,2.26935,0.0227768,3.87511,0.0338733,1.42688,0.0143161,3.28263,0.0200052,30,3.427,3.234,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,inf,normal,fixed30,75,1e-05,4,cpu,torch,400,8,1.69288,0.0170807,3.96223,0.0173324,0.775929,0.00777564,2.92538,0.0113116,30,3.038,3.234,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,40,normal,fixed30,75,1e-05,4,cpu,torch,400,8,2.22383,0.0224685,3.96223,0.0173324,1.27392,0.0127789,2.92538,0.0113116,30,3.139,3.234,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,inf,normal,fixed30,75,0.0001,4,cpu,torch,400,8,1.8705,0.0188939,3.9497,0.108097,1.03835,0.0104247,2.80681,0.0493867,30,3.446,3.127,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,40,normal,fixed30,75,0.0001,4,cpu,torch,400,8,2.28754,0.0230783,3.9497,0.108097,1.32548,0.0132885,2.80681,0.0493867,30,3.549,3.127,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,inf,normal,fixed30,75,0.0001,4,cpu,torch,400,8,1.66654,0.0165914,3.87511,0.107156,1.21571,0.0121086,3.28263,0.0442199,30,3.23,3.127,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,40,normal,fixed30,75,0.0001,4,cpu,torch,400,8,1.84538,0.0184394,3.87511,0.107156,1.30712,0.0130596,3.28263,0.0442199,30,3.335,3.127,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,inf,normal,fixed30,75,0.0001,4,cpu,torch,400,8,1.54432,0.0155624,3.96223,0.056018,0.916028,0.00918139,2.92538,0.027937,30,3.147,3.127,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,40,normal,fixed30,75,0.0001,4,cpu,torch,400,8,1.85246,0.0186804,3.96223,0.056018,1.10583,0.0110947,2.92538,0.027937,30,3.246,3.127,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,inf,normal,fixed30,50,1e-07,4,cpu,torch,400,8,2.23136,0.0227255,3.9497,0.00190928,0.996575,0.0100689,2.80681,0.0012542,30,4.555,5.619,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,40,normal,fixed30,50,1e-07,4,cpu,torch,400,8,3.09864,0.0314987,3.9497,0.00190928,1.71991,0.0174107,2.80681,0.0012542,30,4.613,5.619,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,inf,normal,fixed30,50,1e-07,4,cpu,torch,400,8,2.45494,0.0243686,3.87511,0.00164452,1.04729,0.0105007,3.28263,0.000931104,30,4.543,5.619,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,40,normal,fixed30,50,1e-07,4,cpu,torch,400,8,2.8356,0.0286193,3.87511,0.00164452,1.54718,0.0156362,3.28263,0.000931104,30,4.596,5.619,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,inf,normal,fixed30,50,1e-07,4,cpu,torch,400,8,2.1734,0.0219277,3.96223,0.000967338,0.886077,0.00893684,2.92538,0.000587589,30,4.636,5.619,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,40,normal,fixed30,50,1e-07,4,cpu,torch,400,8,2.57548,0.0261441,3.96223,0.000967338,1.38533,0.0140156,2.92538,0.000587589,30,4.641,5.619,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,inf,normal,fixed30,50,1e-06,4,cpu,torch,400,8,2.09519,0.0212471,3.9497,0.00656223,0.987014,0.0099588,2.80681,0.00411138,30,4.703,4.532,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
