seed,amplitude,snr,solver,protocol,distance,lam,shrink,device,backend,field_scale,field_terms,unexplained_pct,rms_log,planted_cv_pct,floor_pct,unexplained_brain_pct,rms_log_brain,planted_cv_brain_pct,floor_brain_pct,iterations,seconds,baseline_seconds,timestamp,git_commit,torch_version,host
5,0.4,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,4.54502,0.0464001,7.25264,0.0289317,2.13543,0.0217345,5.28404,0.0299439,30,2.631,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
5,0.4,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,5.59395,0.0570415,7.25264,0.0289317,3.60751,0.0366333,5.28404,0.0299439,30,2.521,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
5,0.8,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,8.45653,0.0856962,14.7383,0.0709379,3.68384,0.0375711,10.6651,0.0724598,30,2.666,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
5,0.8,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,8.47443,0.0869366,14.7383,0.0709379,3.94278,0.0404786,10.6651,0.0724598,30,2.646,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
5,0.8,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,8.67747,0.0901162,14.7383,0.0709379,4.71869,0.0485832,10.6651,0.0724598,30,2.694,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
6,0.2,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.18871,0.0220278,4.06629,0.00236199,0.959393,0.00958983,3.49629,0.00192267,30,2.672,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
6,0.2,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.65275,0.0269268,4.06629,0.00236199,1.19839,0.0120689,3.49629,0.00192267,30,2.748,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
6,0.2,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,4.80708,0.0486725,4.06629,0.00236199,2.86865,0.0288157,3.49629,0.00192267,30,2.489,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
6,0.4,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,4.53932,0.0460015,8.07184,0.00492231,2.03658,0.0204122,6.96086,0.00401434,30,3.12,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
6,0.4,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,4.94433,0.0505154,8.07184,0.00492231,2.20096,0.0222543,6.96086,0.00401434,30,2.984,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
6,0.4,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,6.78875,0.0697659,8.07184,0.00492231,3.70865,0.0374778,6.96086,0.00401434,30,3.185,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
6,0.8,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,9.96731,0.103397,15.9113,0.011515,4.79158,0.048766,13.797,0.00987448,30,3.132,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
6,0.8,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,10.3312,0.107295,15.9113,0.011515,5.11923,0.0521717,13.797,0.00987448,30,3.29,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
6,0.8,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,10.7678,0.111755,15.9113,0.011515,5.71214,0.0582732,13.797,0.00987448,30,3.131,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
7,0.2,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.47639,0.0253407,5.05801,0.00312917,1.12376,0.0113173,4.27706,0.00246918,30,3.074,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
