seed,amplitude,snr,protocol,rel_rms_torch_cxx_mask,rel_rms_torch_truth_mask,rel_rms_cxx_truth_mask,rel_rms_torch_cxx_brain,rel_rms_torch_truth_brain,rel_rms_cxx_truth_brain,distance,lam,shrink,field_scale,field_terms,timestamp,git_commit,host
11,0.4,inf,v1.1,1.45998e-10,0.00176698,0.00176698,9.36898e-11,0.00143022,0.00143022,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
12,0.4,inf,v1.1,6.53945e-11,0.0040239,0.0040239,4.03799e-11,0.00209473,0.00209473,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
13,0.4,inf,v1.1,5.32488e-11,0.002319,0.002319,4.02954e-11,0.00141989,0.00141989,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
14,0.4,inf,v1.1,1.15695e-10,0.00326344,0.00326344,6.94511e-11,0.00218109,0.00218109,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
15,0.4,inf,v1.1,2.02319e-10,0.00431179,0.00431179,1.36077e-10,0.0031624,0.0031624,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
16,0.4,inf,v1.1,6.85068e-11,0.00931156,0.00931156,3.92296e-11,0.00578587,0.00578587,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
17,0.4,inf,v1.1,6.06873e-11,0.00164653,0.00164653,3.15398e-11,0.00108701,0.00108701,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
18,0.4,inf,v1.1,5.21424e-11,0.00241298,0.00241298,2.98178e-11,0.00160336,0.00160336,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
19,0.4,inf,v1.1,5.57754e-11,0.00310697,0.00310697,2.95527e-11,0.00139641,0.00139641,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
20,0.4,inf,v1.1,5.85282e-11,0.00157578,0.00157578,3.87377e-11,0.00116325,0.00116325,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
